drugName,entrezGeneIds,pubmedId,author
n-(2-chlorophenyl)-5-phenylimidazo[1 -5-a]pyrazin-8-amine,3932,10592235,Berman HM (2000)
n-(2 -6-dimethylphenyl)-5-phenylimidazo[1 -5-a]pyrazin-8-amine,3932,10592235,Berman HM (2000)
n-(2-chloro-6-methylphenyl)-8-[(3s)-3-methylpiperazin-1-yl]imidazo[1 -5-a]quinoxalin-4-amine,3932,10592235,Berman HM (2000)
4-[3-(1 -4-diazepan-1-ylcarbonyl)-4-fluorobenzyl]phthalazin-1(2h)-one,10039,10592235,Berman HM (2000)
(1s -6br -9as -11r -11br)-9a -11b-dimethyl-1-[(methyloxy)methyl]-3 -6 -9-trioxo-1 -6 -6b -7 -8 -9 -9a -10 -11 -11b-decahydro-3h-furo[4 -3 -2-de]indeno[4 -5-h][2]benzopyran-11-yl acetate,5295|5290|5294|5347,10592235,Berman HM (2000)
4-(2-aminophenyl)-4-oxobutanoic acid,189,10592235,Berman HM (2000)
4-[3-(4-chlorophenyl)-1h-pyrazol-5-yl]piperidine,2147,10592235,Berman HM (2000)
3-(4-chlorophenyl)-5-(methylthio)-4h-1 -2 -4-triazole,2147,10592235,Berman HM (2000)
1-benzyl-3-(4-methoxyphenylamino)-4-phenylpyrrole-2 -5-dione,6256|10062,10592235,Berman HM (2000)
n-(3-tert-butyl-1h-pyrazol-5-yl)-n'-{4-chloro-3-[(pyridin-3-yloxy)methyl]phenyl}urea,1432,10592235,Berman HM (2000)
2-(1h-pyrazol-3-yl)-1h-benzimidazole,6790,10592235,Berman HM (2000)
n-[3-(1h-benzimidazol-2-yl)-1h-pyrazol-4-yl]benzamide,6790|1017,10592235,Berman HM (2000)
4-[(2-{4-[(cyclopropylcarbamoyl)amino]-1h-pyrazol-3-yl}-1h-benzimidazol-6-yl)methyl]morpholin-4-ium,3717,10592235,Berman HM (2000)
n-[4-chloro-3-(pyridin-3-yloxymethyl)-phenyl]-3-fluoro-,1432,10592235,Berman HM (2000)
2-[4-(3-methyl-1h-pyrazol-4-yl)phenyl]ethanamine,5566|5569,10592235,Berman HM (2000)
4-(2-aminoethoxy)-3 -5-dichloro-n-[3-(1-methylethoxy)phenyl]benzamide,5328,10592235,Berman HM (2000)
(2s)-1-(1h-indol-3-yl)-3-{[5-(3-methyl-1h-indazol-5-yl)pyridin-3-yl]oxy}propan-2-amine,2932|5566|5569|208,10592235,Berman HM (2000)
2-[4-({[(3 -5-dichlorophenyl)amino]carbonyl}amino)phenoxy]-2-methylpropanoic acid,3039|3043,10592235,Berman HM (2000)
{4-[3-(4-acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy}acetic acid,5467,10592235,Berman HM (2000)
7-methoxy-4-[(6-phenyl[1 -2 -4]triazolo[4 -3-b]pyridazin-3-yl)methoxy]quinoline,4233,10592235,Berman HM (2000)
latrunculin b,58|57591|84501,10592235,Berman HM (2000)
n-(2-aminoethyl)-p-chlorobenzamide,4129,10592235,Berman HM (2000)
2-(1 -3-thiazol-4-yl)-1h-benzimidazole-5-sulfonamide,760,10592235,Berman HM (2000)
idd594,231,10592235,Berman HM (2000)
1-(4-hexylphenyl)prop-2-en-1-one,7068,10592235,Berman HM (2000)
4-[(7r -7as)-7-hydroxy-1 -3-dioxotetrahydro-1h-pyrrolo[1 -2-c]imidazol-2(3h)-yl]-1-naphthonitrile,367,10592235,Berman HM (2000)
2-chloro-4-{[(1r -3z -7s -7as)-7-hydroxy-1-(trifluoromethyl)tetrahydro-1h-pyrrolo[1 -2-c][1 -3]oxazol-3-ylidene]amino}-3-methylbenzonitrile,367,10592235,Berman HM (2000)
6-[bis(2 -2 -2-trifluoroethyl)amino]-4-(trifluoromethyl)quinolin-2(1h)-one,367,10592235,Berman HM (2000)
3-fluoro-5-morpholin-4-yl-n-[3-(2-pyridin-4-ylethyl)-1h-indol-5-yl]benzamide,1432,10592235,Berman HM (2000)
3-fluoro-n-1h-indol-5-yl-5-morpholin-4-ylbenzamide,1432,10592235,Berman HM (2000)
3-(1-naphthylmethoxy)pyridin-2-amine,1432,10592235,Berman HM (2000)
(4-amino-2-{[1-(methylsulfonyl)piperidin-4-yl]amino}pyrimidin-5-yl)(2 -3-difluoro-6-methoxyphenyl)methanone,1017,10592235,Berman HM (2000)
3-(2-chlorophenyl)-1-(2-{[(1s)-2-hydroxy-1 -2-dimethylpropyl]amino}pyrimidin-4-yl)-1-(4-methoxyphenyl)urea,1432,10592235,Berman HM (2000)
8-(2-chlorophenylamino)-2-(2 -6-difluorophenylamino)-9-ethyl-9h-purine-1 -7-diium,1432,10592235,Berman HM (2000)
2-(2 -6-difluorophenoxy)-n-(2-fluorophenyl)-9-isopropyl-9h-purin-8-amine,1432,10592235,Berman HM (2000)
[5-(5-nitro-2-furyl)-1 -3 -4-oxadiazol-2-yl]thio}acetic acid,231,10592235,Berman HM (2000)
6-ethyl-5-[(2s)-1-(3-methoxypropyl)-2-phenyl-1 -2 -3 -4-tetrahydroquinolin-7-yl]pyrimidine-2 -4-diamine,5972,10592235,Berman HM (2000)
4-[(6-phenyl[1 -2 -4]triazolo[4 -3-b]pyridazin-3-yl)methyl]phenol,4233,10592235,Berman HM (2000)
3-pyridin-4-yl-1h-indazole,5566|5569,10592235,Berman HM (2000)
5-benzyl-1 -3-thiazol-2-amine,5566|5569,10592235,Berman HM (2000)
2-(methylamino)-n-(4-methyl-1 -3-thiazol-2-yl)-5-[(4-methyl-4h-1 -2 -4-triazol-3-yl)sulfanyl]benzamide,2645,10592235,Berman HM (2000)
1 -1 -1-trifluoro-3-((n-acetyl)-l-leucylamido)-4-phenyl-butan-2-one(n-acetyl-l-leucyl-l-phenylalanyl trifluoromethyl ketone),1504,10592235,Berman HM (2000)
(2s)-2-(biphenyl-4-yloxy)-3-phenylpropanoic acid,5468,10592235,Berman HM (2000)
n-methyl-4-{[(2-oxo-1 -2-dihydro-3h-indol-3-ylidene)methyl]amino}benzenesulfonamide,1017,10592235,Berman HM (2000)
n-methyl-{4-[2-(7-oxo-6 -7-dihydro-8h-[1 -3]thiazolo[5 -4-e]indol-8-ylidene)hydrazino]phenyl}methanesulfonamide,1017,10592235,Berman HM (2000)
3-{[(2 -2-dioxido-1 -3-dihydro-2-benzothien-5-yl)amino]methylene}-5-(1 -3-oxazol-5-yl)-1 -3-dihydro-2h-indol-2-one,1017,10592235,Berman HM (2000)
4-{[(2-oxo-1 -2-dihydro-3h-indol-3-ylidene)methyl]amino}-n-(1 -3-thiazol-2-yl)benzenesulfonamide,1017,10592235,Berman HM (2000)
3-{[4-([amino(imino)methyl]aminosulfonyl)anilino]methylene}-2-oxo-2 -3-dihydro-1h-indole,1017,10592235,Berman HM (2000)
(1s -4r -9s)-5-(trifluoromethyl)-1 -2 -3 -4-tetrahydro-1 -4-methanonaphthalen-9-amine,5409,10592235,Berman HM (2000)
(1r)-2-amino-1-[3-(trifluoromethyl)phenyl]ethanol,5409,10592235,Berman HM (2000)
n-(5-{3 -4-difluoro-2-[(2-fluoro-4-iodophenyl)amino]phenyl}-1 -3 -4-oxadiazol-2-yl)ethane-1 -2-diamine,5604,10592235,Berman HM (2000)
5-hydroxynaphthalene-1-sulfonamide,1017,10592235,Berman HM (2000)
n-(4-sulfamoylphenyl)-1h-indazole-3-carboxamide,1017,10592235,Berman HM (2000)
4-[(6-chloropyrazin-2-yl)amino]benzenesulfonamide,1017,10592235,Berman HM (2000)
n-phenyl-1h-pyrazole-3-carboxamide,1017,10592235,Berman HM (2000)
4-(acetylamino)-n-(4-fluorophenyl)-1h-pyrazole-3-carboxamide,1017,10592235,Berman HM (2000)
(4e)-n-(4-fluorophenyl)-4-[(phenylcarbonyl)imino]-4h-pyrazole-3-carboxamide,1017,10592235,Berman HM (2000)
{[(2 -6-difluorophenyl)carbonyl]amino}-n-(4-fluorophenyl)-1h-pyrazole-3-carboxamide,1017,10592235,Berman HM (2000)
5-chloro-7-[(1-methylethyl)amino]pyrazolo[1 -5-a]pyrimidine-3-carbonitrile,1017,10592235,Berman HM (2000)
5-[(4-aminocyclohexyl)amino]-7-(propan-2-ylamino)pyrazolo[1 -5-a]pyrimidine-3-carbonitrile,1017,10592235,Berman HM (2000)
4-{[(2 -6-difluorophenyl)carbonyl]amino}-n-[(3s)-piperidin-3-yl]-1h-pyrazole-3-carboxamide,1017,10592235,Berman HM (2000)
4-{[(2 -6-dichlorophenyl)carbonyl]amino}-n-piperidin-4-yl-1h-pyrazole-3-carboxamide,1017,10592235,Berman HM (2000)
5-chloro-thiophene-2-carboxylic acid ((3s -4s)-4-fluoro- 1-{[2-fluoro-4-(2-oxo-2h-pyridin-1-yl)-phenylcarbamoyl]-methyl}-pyrrolidin-3-yl)-amide,2159,10592235,Berman HM (2000)
4-[3-(dibenzylamino)phenyl]-2 -4-dioxobutanoic acid,5770,10592235,Berman HM (2000)
1-[4-(4-chlorophenyl)-1-(7h-pyrrolo[2 -3-d]pyrimidin-4-yl)piperidin-4-yl]methanamine,5566|5569,10592235,Berman HM (2000)
1-[4-(4-chlorobenzyl)-1-(7h-pyrrolo[2 -3-d]pyrimidin-4-yl)piperidin-4-yl]methanamine,5566|5569,10592235,Berman HM (2000)
4-(4-chlorobenzyl)-1-(7h-pyrrolo[2 -3-d]pyrimidin-4-yl)piperidin-4-aminium,5566|5569,10592235,Berman HM (2000)
(5r -7r -8s -9s -10r)-7-(hydroxymethyl)-3-phenyl-1 -6-dioxa-2-azaspiro[4.5]dec-2-ene-8 -9 -10-triol,5837,10592235,Berman HM (2000)
{(2s)-1-[n-(tert-butoxycarbonyl)glycyl]pyrrolidin-2-yl}methyl (3-chlorophenyl)acetate,2147,10592235,Berman HM (2000)
(5e)-14-chloro-15 -17-dihydroxy-4 -7 -8 -9 -10 -11-hexahydro-2-benzoxacyclopentadecine-1 -12(3h -13h)-dione,3326,10592235,Berman HM (2000)
n-{2-[4-(aminosulfonyl)phenyl]ethyl}acetamide,759|760,10592235,Berman HM (2000)
3-[4-(aminosulfonyl)phenyl]propanoic acid,759|760,10592235,Berman HM (2000)
ethyl 3-[4-(aminosulfonyl)phenyl]propanoate,759|760,10592235,Berman HM (2000)
4-(5 -11-dioxo-5h-indeno[1 -2-c]isoquinolin-6(11h)-yl)butanoate,7150,10592235,Berman HM (2000)
5-(1 -4-diazepan-1-sulfonyl)isoquinoline,5566|5569|6093|9475,10592235,Berman HM (2000)
5'-{[4-(aminooxy)butyl](methyl)amino}-5'-deoxy-8-ethenyladenosine,262,10592235,Berman HM (2000)
(3r -4r)-1-{6-[3-(methylsulfonyl)phenyl]pyrimidin-4-yl}-4-(2 -4 -5-trifluorophenyl)piperidin-3-amine,1803,10592235,Berman HM (2000)
indane-5-sulfonamide,760,10592235,Berman HM (2000)
(4r)-7-chloro-9-methyl-1-oxo-1 -2 -4 -9-tetrahydrospiro[beta-carboline-3 -4'-piperidine]-4-carbonitrile,5292,10592235,Berman HM (2000)
3 -7-bis(dimethylamino)phenothiazin-5-ium,43,10592235,Berman HM (2000)
7-amino-4-methyl-chromen-2-one,55869|10105,10592235,Berman HM (2000)
(2z)-n-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide,1723,10592235,Berman HM (2000)
(1r)-n -6-dihydroxy-7-methoxy-2-[(4-methoxyphenyl)sulfonyl]-1 -2 -3 -4-tetrahydroisoquinoline-1-carboxamide,4316,10592235,Berman HM (2000)
(2z)-n-(3-chloro-2'-methoxybiphenyl-4-yl)-2-cyano-3-hydroxybut-2-enamide,1723,10592235,Berman HM (2000)
5-chloro-n-(2-(4-(2-oxopyridin-1(2h)-yl)benzamido)ethyl)thiophene-2-carboxamide,2159,10592235,Berman HM (2000)
5-chloro-n-((1r -2s)-2-(4-(2-oxopyridin-1(2h)-yl)benzamido) cyclopentyl)thiophene-2-carboxamide,2159,10592235,Berman HM (2000)
(2e -4e)-11-methoxy-3 -7 -11-trimethyldodeca-2 -4-dienoic acid,10499|6257|10062,10592235,Berman HM (2000)
(1z)-4-(4-fluorophenyl)-2-methylidenebutan-1-imine,4129,10592235,Berman HM (2000)
4-(4-methoxy-1h-pyrrolo[2 -3-b]pyridin-3-yl)pyrimidin-2-amine,1017|890,10592235,Berman HM (2000)
methyl 4-(2 -3-dihydroxy-5-methylphenoxy)-2-hydroxy-6-methylbenzoate,2739,10592235,Berman HM (2000)
2-[methyl-(5-geranyl-4-methyl-pent-3-enyl)-amino]-ethyl-diphosphate,5229|2339,10592235,Berman HM (2000)
4-(4-propoxy-1h-pyrrolo[2 -3-b]pyridin-3-yl)pyrimidin-2-amine,1017|890,10592235,Berman HM (2000)
3-{(3r -4r)-4-methyl-3-[methyl(7h-pyrrolo[2 -3-d]pyrimidin-4-yl)amino]piperidin-1-yl}-3-oxopropanenitrile,3716|3718|3717|7297,10592235,Berman HM (2000)
2-(2-methylphenyl)-1h-indole-5-carboximidamide,5644,10592235,Berman HM (2000)
(3e)-4-(1-methyl-1h-indol-3-yl)but-3-en-2-one,8850,10592235,Berman HM (2000)
methyl-phe-pro-amino-cyclohexylglycine,2147,10592235,Berman HM (2000)
n-[2-(2-iodo-5-methoxy-1h-indol-3-yl)ethyl]acetamide,4835,10592235,Berman HM (2000)
4-(5-phenyl-1h-pyrrolo[2 -3-b]pyridin-3-yl)benzoic acid,6446,10592235,Berman HM (2000)
2-(4-carcoxy-5-isopropylthiazolyl)benzopiperidine,6714,10592235,Berman HM (2000)
4-methyl-7 -8-dihydro-5h-thiopyrano[4 -3-d]pyrimidin-2-amine,3320,10592235,Berman HM (2000)
(1r)-2-[(cyanomethyl)amino]-1-({[2-(difluoromethoxy)benzyl]sulfonyl}methyl)-2-oxoethyl morpholine-4-carboxylate,1520,10592235,Berman HM (2000)
(5e -7s)-2-amino-7-(4-fluoro-2-pyridin-3-ylphenyl)-4-methyl-7 -8-dihydroquinazolin-5(6h)-one oxime,3320,10592235,Berman HM (2000)
[(4r)-4-(3-hydroxyphenyl)-1 -6-dimethyl-2-thioxo-1 -2 -3 -4-tetrahydropyrimidin-5-yl](phenyl)methanone,3832,10592235,Berman HM (2000)
(1r)-menthyl hexyl phosphonate group,590,10592235,Berman HM (2000)
(1s)-menthyl hexyl phosphonate group,590,10592235,Berman HM (2000)
4-({[(4-methylpiperazin-1-yl)amino]carbonothioyl}amino)benzenesulfonamide,760,10592235,Berman HM (2000)
7-[2-methoxy-1-(methoxymethyl)ethyl]-7h-pyrrolo[3 -2-f] quinazoline-1 -3-diamine,200895,10592235,Berman HM (2000)
2-[(4-ethynyl-2-fluorophenyl)amino]-3 -4-difluoro-n-(2-hydroxyethoxy)benzamide,5604,10592235,Berman HM (2000)
2-amino-4-fluoro-5-[(1-methyl-1h-imidazol-2-yl)sulfanyl]-n-(1 -3-thiazol-2-yl)benzamide,2645,10592235,Berman HM (2000)
1-methyl-5-(2-phenoxymethyl-pyrrolidine-1-sulfonyl)-1h-indole-2 -3-dione,836,10592235,Berman HM (2000)
4-(1h-imidazol-1-yl)phenol,4843,10592235,Berman HM (2000)
2 -2 -5 -5-tetramethyl-3-(sulfanylmethyl)-2 -5-dihydro-1h-pyrrol-1-ol,1048|1977,10592235,Berman HM (2000)
hydroxy(oxo)(3-{[(2z)-4-[3-(1h-1 -2 -4-triazol-1-ylmethyl)phenyl]pyrimidin-2(5h)-ylidene]amino}phenyl)ammonium,1017|890,10592235,Berman HM (2000)
4-methyl-5-{(2e)-2-[(4-morpholin-4-ylphenyl)imino]-2 -5-dihydropyrimidin-4-yl}-1 -3-thiazol-2-amine,1017|890,10592235,Berman HM (2000)
(8alpha -10alpha -13alpha -17beta)-17-[(4-hydroxyphenyl)carbonyl]androsta-3 -5-diene-3-carboxylic acid,9971|8648,10592235,Berman HM (2000)
n-{4-methyl-3-[(3-pyrimidin-4-ylpyridin-2-yl)amino]phenyl}-3-(trifluoromethyl)benzamide,7010,10592235,Berman HM (2000)
methoxyundecylphosphinic acid,1208|5406,10592235,Berman HM (2000)
(1s -7s -8s -8ar)-1 -2 -3 -7 -8 -8a-hexahydro-7-methyl-8-[2-[(2r -4r)-tetrahydro-4-hy droxy-6-oxo-2h-pyran-2-yl]ethyl]-1-naphthalenol,1066,10592235,Berman HM (2000)
5 -8-dimethoxy-1 -4-dimethylquinolin-2(1h)-one,4835,10592235,Berman HM (2000)
[n-(3-dibenzylcarbamoyl-oxiranecarbonyl)-hydrazino]-acetic acid,836,10592235,Berman HM (2000)
5 -7-dihydroxy-2-(3 -4 -5-trihydroxyphenyl)-4h-chromen-4-one,5292,10592235,Berman HM (2000)
myristic acid,2280|375|27095|5817|2978|7099|5534|382|5530|23643|10455|5957|25|8648|5566|5569|2760|3630|801|3172,10592235,Berman HM (2000)
{5-(5-amino-1h-pyrrolo[3 -2-b]pyridin-2-yl)-6-hydroxy-3'-nitro-biphenyl-3-yl]-acetic acid,2155|2152,10592235,Berman HM (2000)
6-cyclohexylmethyloxy-2-(4'-hydroxyanilino)purine,1017|890,10592235,Berman HM (2000)
5-[3-(2 -5-dimethoxyphenyl)prop-1-yn-1-yl]-6-ethylpyrimidine-2 -4-diamine,1719,10592235,Berman HM (2000)
n-[2-(2-methyl-1h-indol-3-yl)ethyl]thiophene-2-carboxamide,10095|10096|10097|10094|10109|10092|10093,10592235,Berman HM (2000)
(2s)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1 -3-thiazolidin-4-one,10095|10096|10097|10094|10109|10092|10093,10592235,Berman HM (2000)
2'-deoxy-n-(naphthalen-1-ylmethyl)guanosine 5'-(dihydrogen phosphate),51426,10592235,Berman HM (2000)
5-amino-naphtalene-2-monosulfonate,2246,10592235,Berman HM (2000)
(2s)-4-(2 -5-difluorophenyl)-n-methyl-2-phenyl-n-piperidin-4-yl-2 -5-dihydro-1h-pyrrole-1-carboxamide,3832,10592235,Berman HM (2000)
n-(4-chlorophenyl)-3-(phosphonooxy)naphthalene-2-carboxamide,226,10592235,Berman HM (2000)
4-(6-cyclohexylmethoxy-9h-purin-2-ylamino)--benzamide,1017|890,10592235,Berman HM (2000)
n -4-dimethyl-3-[(1-phenyl-1h-pyrazolo[3 -4-d]pyrimidin-4-yl)amino]benzamide,1432,10592235,Berman HM (2000)
(1s)-1-cyclopropyl-2-[(2s)-4-(2 -5-difluorophenyl)-2-phenyl-2 -5-dihydro-1h-pyrrol-1-yl]-2-oxoethanamine,3832,10592235,Berman HM (2000)
(2s)-4-(2 -5-difluorophenyl)-n -n-dimethyl-2-phenyl-2 -5-dihydro-1h-pyrrole-1-carboxamide,3832,10592235,Berman HM (2000)
6-(cyclohexylmethoxy)-8-isopropyl-9h-purin-2-amine,1017,10592235,Berman HM (2000)
3-(6-cyclohexylmethoxy-9h-purin-2-ylamino)-benzenesulfonamide,1017|890,10592235,Berman HM (2000)
3 -6 -9 -12 -15-pentaoxatricosan-1-ol,1723,10592235,Berman HM (2000)
(5s)-5-(3-aminopropyl)-3-(2 -5-difluorophenyl)-n-ethyl-5-phenyl-4 -5-dihydro-1h-pyrazole-1-carboxamide,3832,10592235,Berman HM (2000)
4-[5-(2-carboxy-1-formyl-ethylcarbamoyl)-pyridin-3-yl]-benzoic acid,836,10592235,Berman HM (2000)
2-naphthalenesulfonic acid,5644|2147,10592235,Berman HM (2000)
n-[(cyclohexylamino)carbonyl]glycine,2053,10592235,Berman HM (2000)
4-{[(cyclohexylamino)carbonyl]amino}butanoic acid,2053,10592235,Berman HM (2000)
6-{[(cyclohexylamino)carbonyl]amino}hexanoic acid,2053,10592235,Berman HM (2000)
7-{[(cyclohexylamino)carbonyl]amino}heptanoic acid,2053,10592235,Berman HM (2000)
2 -6-dicarboxynaphthalene,3039|3043,10592235,Berman HM (2000)
n-(carboxycarbonyl)-d-phenylalanine,55662,10592235,Berman HM (2000)
n-(2-aminoethyl)-n~2~-{(1s)-1-[4'-(aminosulfonyl)biphenyl-4-yl]-2 -2 -2-trifluoroethyl}-l-leucinamide,1513,10592235,Berman HM (2000)
n-isobutyl-n-[4-methoxyphenylsulfonyl]glycyl hydroxamic acid,9313|4314|4321|4319,10592235,Berman HM (2000)
4-hydroxy-5-iodo-3-nitrophenylacetyl-epsilon-aminocaproic acid anion,28776,10592235,Berman HM (2000)
n-methyl o-nitrophenyl aminoethyldiphosphate beryllium trifluoride,79784,10592235,Berman HM (2000)
2-(2-chloro-4-fluorophenoxy)-2-methyl-n-[(1r -2s -3s -5s -7s)-5-(methylsulfonyl)-2-adamantyl]propanamide,3290,10592235,Berman HM (2000)
(1s -3r -4s -5s -7s)-4-{[2-(4-methoxyphenoxy)-2-methylpropanoyl]amino}adamantane-1-carboxamide,3290,10592235,Berman HM (2000)
(2r -3r -4r -5s)-2-(hydroxymethyl)-1-nonylpiperidine-3 -4 -5-triol,2629,10592235,Berman HM (2000)
(2r)-2-{[4-(benzylamino)-8-(1-methylethyl)pyrazolo[1 -5-a][1 -3 -5]triazin-2-yl]amino}butan-1-ol,1017|890,10592235,Berman HM (2000)
(1r -2r)-n-(2-aminoethyl)-2-{[(4-methoxyphenyl)sulfonyl]methyl}cyclohexanecarboxamide,1513,10592235,Berman HM (2000)
n-(para-glutaramidophenyl-ethyl)-piperidinium-n-oxide,3514,10592235,Berman HM (2000)
n-(3-aminopropyl)-2-nitrobenzenamine,8850,10592235,Berman HM (2000)
(5z)-12-chloro-13 -15-dihydroxy-4 -7 -8 -9-tetrahydro-2-benzoxacyclotridecine-1 -10(3h -11h)-dione,3326,10592235,Berman HM (2000)
(5e)-12-chloro-13 -15-dihydroxy-4 -7 -8 -9-tetrahydro-2-benzoxacyclotridecine-1 -10(3h -11h)-dione,3326,10592235,Berman HM (2000)
2-(4-hydroxy-3-nitrophenyl)acetic acid,3500,10592235,Berman HM (2000)
4-hydroxy-3-nitrophenylacetyl-epsilon-aminocaproic acid anion,28776,10592235,Berman HM (2000)
5-(para-nitrophenyl phosphonate)-pentanoic acid,3500,10592235,Berman HM (2000)
4-[8-(3-nitrophenyl)-1 -7-naphthyridin-6-yl]benzoic acid,5141|5144|5142,10592235,Berman HM (2000)
1-methyl-3-naphthalen-2-yl-1h-pyrazolo[3 -4-d]pyrimidin-4-amine,5294,10592235,Berman HM (2000)
n-({[4-(aminosulfonyl)phenyl]amino}carbonyl)-4-methylbenzenesulfonamide,760,10592235,Berman HM (2000)
3-[5-(2-nitropent-1-en-1-yl)furan-2-yl]benzoic acid,5468,10592235,Berman HM (2000)
(3s)-3-cyclopentyl-6-methyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3 -4-dihydro-2h-1 -2 -4-benzothiadiazine 1 -1-dioxide,2891,10592235,Berman HM (2000)
(3r)-3-cyclopentyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3 -4-dihydro-2h-1 -2-benzothiazine 1 -1-dioxide,2891,10592235,Berman HM (2000)
(3r)-3-cyclopentyl-6-methyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3 -4-dihydro-2h-1 -2-benzothiazine 1 -1-dioxide,2891,10592235,Berman HM (2000)
3-({2-[(4-{[6-(cyclohexylmethoxy)-9h-purin-2-yl]amino}phenyl)sulfonyl]ethyl}amino)propan-1-ol,1017|890,10592235,Berman HM (2000)
6-cyclohexylmethyloxy-5-nitroso-pyrimidine-2 -4-diamine,1017,10592235,Berman HM (2000)
nocodazole,27306,10592235,Berman HM (2000)
diethyl (1r -2s -3r -4s)-5 -6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hept-5-ene-2 -3-dicarboxylate,10499|2099,10592235,Berman HM (2000)
(1s -2s -3r -6r)-4-(hydroxymethyl)-6-(octylamino)cyclohex-4-ene-1 -2 -3-triol,4124,10592235,Berman HM (2000)
2-deoxy-3 -4-bis-o-[3-(4-hydroxyphenyl)propanoyl]-l-threo-pentaric acid,5837,10592235,Berman HM (2000)
3-oxo-n-[(3s)-2-oxopyrrolidin-3-yl]dodecanamide,3501,10592235,Berman HM (2000)
2-(2-hydroxyethylamino)-6-(3-chloroanilino)-9-isopropylpurine,10461|53944,10592235,Berman HM (2000)
2-(6-hydroxy-1 -3-benzothiazol-2-yl)-1 -3-thiazol-4(5h)-one,23205,10592235,Berman HM (2000)
sulthiame,760,10592235,Berman HM (2000)
methyl (2z)-3-methoxy-2-{2-[(e)-2-phenylvinyl]phenyl}acrylate,4519|29796|7381|7386|10975|7388|27089|1537|7385|7384,10592235,Berman HM (2000)
[2'-carboxylethyl]-10-methyl-anthracene endoperoxide,3500,10592235,Berman HM (2000)
4-hydroxybenzaldehyde o-(cyclohexylcarbonyl)oxime,4282,10592235,Berman HM (2000)
3-fluoro-4-hydroxybenzaldehyde o-(cyclohexylcarbonyl)oxime,4282,10592235,Berman HM (2000)
4-hydroxybenzaldehyde o-(3 -3-dimethylbutanoyl)oxime,4282,10592235,Berman HM (2000)
19-(cyclopropylamino)-4 -6 -7 -15-tetrahydro-5h-16 -1-(azenometheno)-10 -14-(metheno)pyrazolo[4 -3-o][1 -3 -9]triazacyclohexadecin-8(9h)-one,1457,10592235,Berman HM (2000)
6-(2 -6-dichlorophenyl)-2-{[3-(hydroxymethyl)phenyl]amino}-8-methylpyrido[2 -3-d]pyrimidin-7(8h)-one,25,10592235,Berman HM (2000)
n -n'-diphenylpyrazolo[1 -5-a][1 -3 -5]triazine-2 -4-diamine,1457,10592235,Berman HM (2000)
4-{[4-{[(1r -2r)-2-(dimethylamino)cyclopentyl]amino}-5-(trifluoromethyl)pyrimidin-2-yl]amino}-n-methylbenzenesulfonamide,2185,10592235,Berman HM (2000)
s-palmitoyl-l-cysteine,58485|51399|126003|27095|79090|122553,10592235,Berman HM (2000)
4-(2-(1h-imidazol-4-yl)ethylamino)-2-(phenylamino)pyrazolo[1 -5-a][1 -3 -5]triazine-8-carbonitrile,1457,10592235,Berman HM (2000)
(5z)-13-chloro-14 -16-dihydroxy-3 -4 -7 -8 -9 -10-hexahydro-1h-2-benzoxacyclotetradecine-1 -11(12h)-dione,3326,10592235,Berman HM (2000)
4-{[(2s)-3-(tert-butylamino)-2-hydroxypropyl]oxy}-3h-indole-2-carbonitrile,153,10592235,Berman HM (2000)
n~2~ -n~2~-dimethyl-n~1~-(6-oxo-5 -6-dihydrophenanthridin-2-yl)glycinamide,165631|10039|1938,10592235,Berman HM (2000)
n-cyclopropyl-3-{[1-(2 -4-difluorophenyl)-7-methyl-6-oxo-6 -7-dihydro-1h-pyrazolo[3 -4-b]pyridin-4-yl]amino}-4-methylbenzamide,1432,10592235,Berman HM (2000)
5-[3-(2-methoxyphenyl)-1h-pyrrolo[2 -3-b]pyridin-5-yl]-n -n-dimethylpyridine-3-carboxamide,25,10592235,Berman HM (2000)
n-cyclopropyl-4-methyl-3-{2-[(2-morpholin-4-ylethyl)amino]quinazolin-6-yl}benzamide,1432,10592235,Berman HM (2000)
6-[4-(2-fluorophenyl)-1 -3-oxazol-5-yl]-n-(1-methylethyl)-1 -3-benzothiazol-2-amine,1432,10592235,Berman HM (2000)
2-(cyclohexylmethylamino)-4-(phenylamino)pyrazolo[1 -5-a][1 -3 -5]triazine-8-carbonitrile,1457,10592235,Berman HM (2000)
2-(4-chlorobenzylamino)-4-(phenylamino)pyrazolo[1 -5-a][1 -3 -5]triazine-8-carbonitrile,1457,10592235,Berman HM (2000)
1-methyl-8-(phenylamino)-4 -5-dihydro-1h-pyrazolo[4 -3-h]quinazoline-3-carboxylic acid,1017|890,10592235,Berman HM (2000)
4-[4-(4-methoxyphenyl)-5-methyl-1h-pyrazol-3-yl]benzene-1 -3-diol,5166,10592235,Berman HM (2000)
1-ethoxy-2-(2-ethoxyethoxy)ethane,43,10592235,Berman HM (2000)
